shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"451000","PLUS 종합채권(AA-이상)액티브","006358","ok","KAP 종합채권지수(AA-이상, 총수익)","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","8f9044b580347871c734636a09bc1e4fe2a8c4731e4c07e3119045079baf1510"
"451600","PLUS 국고채30년액티브","006203","ok","KAP 국고채 30년 지수(총수익)","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","7eb2b1c7c3157519dd34504f3d462e6fd0daf8731b819b5c925257edb50e76f7"
"453010","PLUS KOFR금리","006180","ok","Korea Overnight Financing Repo Rate Index","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","d54f0fd0733d5028a20f52db91b1a2041ec193aab27ccdf533b4a995d0d13d53"
"456200","PLUS 미국달러SOFR금리액티브(합성)","006190","ok","Solactive SOFR Daily Total Return Index(원화환산)","투자신탁 회계기간 종료일. 다만, 투자신탁 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일","fdafd6d8a8b0cef4a746de23ac1d8e0fdf69116eeb20326bafc7a17c4cc78e17"
"457990","PLUS 태양광&ESS","006279","ok","FnGuide 태양광&ESS 지수","매 1월, 4월, 7월, 10월 마지막 영업일","7ff4361fb5485701fcc503e8deccd5ae74a5cfdc1473da8a81bc8d55a55694fd"
"461460","PLUS 국고채10년액티브","006359","ok","KAP 국고채 10년 동일가중 지수(총수익)","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","fdf7255175843054188829fcf3f18368786b2c781ff088a2f389d9e810b16314"
"461900","PLUS 미국테크TOP10","006349","ok","iSelect 미국 Tech10 지수(원화환산)","매 1 월 , 4 월 , 7 월 , 10 월 마지막 영업일 및 투자신탁회계기간 종료일","e0a476b0972f369998e0b0966b75b3068020dd441f8fb9617fa03021bf41d0c9"
"461910","PLUS 미국테크TOP10레버리지(합성)","006350","ok","iSelect 미국 Tech10 지수(원화환산)","투자신탁회계기간 종료일. 다만, 투자신탁회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일","4af7d2a808ecba30b6c7aa835ca2f2c4b2c3ec5f075f29eef38734510f4b5d98"
"464470","PLUS 미국채30년액티브","006204","ok","ICE U.S. Treasury 20+ Year Bond Index(원화환산)","매월 마지막 영업일 및 회계기간 종료일","26608890678f55155f71490d9633b87151bdc60c6a0089e25ae68b240a9dddc4"
"464920","PLUS 일본반도체소부장","006366","ok","Solactive Japan Semiconductor Materials and Equipment Index(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","3213908706acfb63b8cdd7c5add9c5960318d73dd56d8483db60d6bbc30d0ebf"
"477050","PLUS 머니마켓액티브","006367","ok","KAP 시가평가 MMF 지수(총수익)","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","c17d9ed9531f5eda3ab5944c1c30ae7b16e18216236cd2ba46372302ba577323"
"489000","PLUS 일본엔화초단기국채(합성)","006369","ok","KAP 일본 단기 국채 지수","투자신탁 회계기간 종료일. 다만 투자신탁 회계기간 종료일이 아닌 경우 그 직전 영업일","f77b3cfbcc9c1ee0760d7f72c2ed5d12499da8cf0a5df0b35b5b15551eaa34dd"
"489010","PLUS 글로벌AI인프라","006368","ok","Solactive Global AI Infrastructure Index PR","1,4,7,10월 마지막 영업일 및 회계 종료일","96010e0b3ba8b852a6c622e0fb104c0d157e937a14531d4df9bd7b8867c1e2c7"
"489030","PLUS 고배당주위클리커버드콜","006370","ok","코스피 고배당 위클리 콜매도 ATM 지수","매월 마지막 영업일 및 투자신탁 회계기간 종료일에 지급","3d895465bdb03c471e00fec784f637dbf26630fd722812c3a4a5237f161db8f4"
"491220","PLUS 200TR","006373","ok","KOSPI200 TR 지수","분배금 재투자","75306460db0eeb4553b0834de6a0d26d1d7560cb2179f4568fa126cfb850168a"
"491230","PLUS 국공채머니마켓액티브","006374","ok","KAP 국공채 MMF 지수(총수익)","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","723b7d6268636dcde41e7a5b51ebc9bad41557a11276ebad955e73bced9c3878"
"494410","PLUS 미국S&P500성장주","006375","ok","S&P 500 Growth 지수(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","9596a756d667cfbb2288a32d69bbbe2ec5cdccb6b19bf509e6ff3b097485b551"
"494420","PLUS 미국배당증가성장주데일리커버드콜","006376","ok","Bloomberg U.S. Dividend Growth Partial Covered Call Index(원화환산)","매월 15일","9393e9f8041d5149b83794dd10121c738ddc9ee00ff07ae86d2aba87688ce053"
"495040","PLUS 코리아밸류업","006378","ok","코리아 밸류업 지수","매월 15일(영업일이 아닌 경우 그 직전 영업일)","ad1950a9852b2ddf68dfa26a763cf0d98cbc12c1f0339516b9c823a9cc892791"
"496770","PLUS 글로벌방산","006377","ok","Solactive Global Defense Index(원화환산)","매 1 월 , 4 월 , 7 월 , 10 월 마지막 영업일 및 투자신탁회계기간 종료일 . 다만 , 투자신탁회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일","111dc5e94b39c2f4895a2ec237079e545fe0139a6e6b2325788be1ce267a42f0"
