universeKey,shortCode,name,status,score,grade,provenanceSelected,provenanceBacked,regionEligibility,regionEvidence,sectorEligibility,sectorEvidence,dividendEligibility,dividendEvidence
252420,252420,RISE 200선물인버스2X,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
252650,252650,KODEX 200동일가중,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
252670,252670,KODEX 200선물인버스2X,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
252710,252710,TIGER 200선물인버스2X,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
253150,253150,PLUS 200선물레버리지,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
253160,253160,PLUS 200선물인버스2X,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
253230,253230,KIWOOM 200선물인버스2X,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
253240,253240,KIWOOM 200선물인버스,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
253250,253250,KIWOOM 200선물레버리지,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
253280,253280,RISE 헬스케어,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
253290,253290,RISE 헬스케어채권혼합,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
256440,256440,ACE MSCI인도네시아(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
256450,256450,PLUS 심천차이넥스트(합성),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
256750,256750,KODEX 차이나심천ChiNext(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
261060,261060,TIGER 코스닥150IT,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
261070,261070,TIGER 코스닥150바이오테크,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
261110,261110,TIGER 미국달러선물레버리지,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
261120,261120,TIGER 미국달러선물인버스2X,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
261140,261140,TIGER 우선주,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
261220,261220,KODEX WTI원유선물(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
261240,261240,KODEX 미국달러선물,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
261250,261250,KODEX 미국달러선물레버리지,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
261260,261260,KODEX 미국달러선물인버스2X,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
261270,261270,KODEX 미국달러선물인버스,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
261920,261920,ACE MSCI필리핀(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
265690,265690,ACE 러시아MSCI(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
266160,266160,RISE 고배당,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
266360,266360,KODEX K콘텐츠,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
266370,266370,KODEX IT,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
266390,266390,KODEX 경기소비재,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
266410,266410,KODEX 필수소비재,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
266420,266420,KODEX 헬스케어,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
266550,266550,PLUS 중형주저변동50,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
