etfCode,etfName,rank,holdingCode,holdingName,quantity,weightPct,status
233740,KODEX 코스닥150레버리지,1,229200,KODEX 코스닥150,"15,829",27.04,OK
233740,KODEX 코스닥150레버리지,2,196170,알테오젠,127,4.98,OK
233740,KODEX 코스닥150레버리지,3,086520,에코프로,305,3.16,OK
233740,KODEX 코스닥150레버리지,4,247540,에코프로비엠,167,2.48,OK
233740,KODEX 코스닥150레버리지,5,036930,주성엔지니어링,97,2.19,OK
233740,KODEX 코스닥150레버리지,6,240810,원익IPS,102,1.58,OK
233740,KODEX 코스닥150레버리지,7,319660,피에스케이,61,1.39,OK
233740,KODEX 코스닥150레버리지,8,058470,리노공업,155,1.39,OK
233740,KODEX 코스닥150레버리지,9,298380,에이비엘바이오,129,1.26,OK
233740,KODEX 코스닥150레버리지,10,277810,레인보우로보틱스,24,1.23,OK
139260,TIGER 200 IT,1,402340,SK스퀘어,573,24.38,OK
139260,TIGER 200 IT,2,000660,SK하이닉스,356,24.07,OK
139260,TIGER 200 IT,3,005930,삼성전자,"1,892",17.64,OK
139260,TIGER 200 IT,4,009150,삼성전기,329,15.54,OK
139260,TIGER 200 IT,5,006400,삼성SDI,298,4.80,OK
139260,TIGER 200 IT,6,066570,LG전자,530,3.60,OK
139260,TIGER 200 IT,7,011070,LG이노텍,70,1.70,OK
139260,TIGER 200 IT,8,003550,LG,440,1.60,OK
139260,TIGER 200 IT,9,042700,한미반도체,207,1.56,OK
139260,TIGER 200 IT,10,018260,삼성에스디에스,187,1.30,OK
481050,KODEX CD1년금리플러스액티브(합성),,,,,,EMPTY_NO_TABLE
426030,TIME 미국나스닥100액티브,,,,,,EMPTY_NO_TABLE
455890,RISE 머니마켓액티브,,,,,,EMPTY_NO_TABLE
456600,TIME 글로벌AI인공지능액티브,1,0043Y0,TIME 차이나AI테크액티브,"1,528",-,OK
0193W0,KODEX 삼성전자단일종목레버리지,1,005930,삼성전자,"1,368",90.87,OK
449170,TIGER KOFR금리액티브(합성),,,,,,EMPTY_NO_TABLE
278540,KODEX MSCI Korea TR,1,005930,삼성전자,"5,070",33.55,OK
278540,KODEX MSCI Korea TR,2,000660,SK하이닉스,599,28.74,OK
