etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
460270,KIWOOM 미국달러SOFR금리액티브(합성),krx_numeric,키움투자자산운용,Solactive SOFR Daily Total Return Index,thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
460660,RISE 미국S&P배당킹,krx_numeric,KB자산운용,S&P Dividend Monarchs Index(Price Return),enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
460960,ACE 글로벌인컴TOP10,krx_numeric,한국투자신탁운용,Solactive Global Superior Income TOP 10 Price Return Index,enriched,39,C,medium,low,low,medium,low,0,3,false,구성종목|산업·국가 비중|실제 분배금 이력
461340,HANARO 글로벌생성형AI액티브,krx_numeric,NH-Amundi자산운용,Solactive United States Technology 100 Index(Price Return),thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
461450,KODEX 코스닥글로벌,krx_numeric,삼성자산운용,코스닥 글로벌 지수,enriched,40,C,low,low,medium,low,none,10,3,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
461460,PLUS 국고채10년액티브,krx_numeric,한화자산운용,KAP 국고채 10년 동일가중 지수(총수익),enriched,61,B,medium,low,low,medium,high,0,4,false,구성종목|산업·국가 비중
461490,RISE 글로벌자산배분액티브,krx_numeric,KB자산운용,Bloomberg Multi-Asset Weighted (KRW ETFs) 지수(시장가격),enriched,76,A,medium,low,medium,medium,high,10,3,true,산업·국가 비중
461500,HANARO 종합채권(AA-이상)액티브,krx_numeric,NH-Amundi자산운용,KAP 종합채권 총수익지수(AA-이상),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
461580,TIGER 코스닥글로벌,krx_numeric,미래에셋자산운용,코스닥 글로벌 지수,enriched,68,B,medium,low,medium,medium,low,51,3,true,산업·국가 비중|실제 분배금 이력
461600,SOL 미국30년국채액티브(H),krx_numeric,신한자산운용,KAP 미국채 20Y+ 지수(시장가격),enriched,53,C,medium,low,low,medium,low,0,4,false,구성종목|산업·국가 비중|실제 분배금 이력
461900,PLUS 미국테크TOP10,krx_numeric,한화자산운용,iSelect 미국 Tech 10 지수,enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
461910,PLUS 미국테크TOP10레버리지(합성),krx_numeric,한화자산운용,iSelect 미국 Tech 10 지수,enriched,61,B,medium,low,low,medium,high,0,4,false,구성종목|산업·국가 비중
461950,KODEX 2차전지핵심소재10,krx_numeric,삼성자산운용,FnGuide 2차전지핵심소재10 지수,enriched,40,C,low,low,medium,low,none,10,4,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
462010,TIGER 2차전지소재Fn,krx_numeric,미래에셋자산운용,FnGuide 2차전지소재 (Price Return) 지수,enriched,68,B,medium,low,medium,medium,low,21,4,true,산업·국가 비중|실제 분배금 이력
462330,KODEX 2차전지산업레버리지,krx_numeric,삼성자산운용,FnGuide 2차전지 산업 지수,enriched,40,C,low,low,medium,low,none,10,5,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
462340,에셋플러스 글로벌다이나믹시니어액티브,krx_numeric,에셋플러스자산운용,S&P 500,thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
462900,KoAct 바이오헬스케어액티브,krx_numeric,삼성액티브자산운용,iSelect 바이오헬스케어 PR 지수,enriched,76,A,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
463050,TIME K바이오액티브,krx_numeric,타임폴리오자산운용,KRX 헬스케어,enriched,40,C,low,low,medium,low,none,10,4,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
463250,TIGER K방산&우주,krx_numeric,미래에셋자산운용,iSelect K방산&우주,enriched,68,B,medium,low,medium,medium,low,11,4,true,산업·국가 비중|실제 분배금 이력
463290,1Q 단기금융채액티브,krx_numeric,하나자산운용,MK 머니마켓 지수(총수익),enriched,53,C,medium,low,low,medium,low,0,3,false,구성종목|산업·국가 비중|실제 분배금 이력
463300,RISE 중국본토CSI300,krx_numeric,KB자산운용,CSI 300 Index,enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
463640,KODEX 미국S&P500유틸리티,krx_numeric,삼성자산운용,S&P Utilities Select Sector Index(Price Return),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
